slug,name,fieldGroup,field,yearPosed,solveDate,model,modelMaker,aiContribution,resolutionMethod,verification,verification_route,lean_status,auto_tag,manual_verdict,significance,solveType,publication,harness_keyword_hits,think_hard_keyword_hits,trial_mentions,manual_rationale,sourceUrl
hessian-conjecture-five-variable-counterexample,A Five-Variable Counterexample to the Hessian Conjecture,Algebra,"Affine Algebraic Geometry, Polynomial Maps",,2026-07-24,ChatGPT Pro + Claude,,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,30,disproved,preprint,,,,,https://arxiv.org/abs/2607.22198
anderson-quasi-completeness,Anderson's Quasi-Completeness Question,Algebra,Commutative algebra,2014,2026-04-04,Rethlas + Archon (GPT-5.4 Pro),OpenAI,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,harness-signal,,10,disproved,preprint,agent; pipeline,,80 hours,,https://arxiv.org/abs/2604.03789
baker-anti-bertini-hyperplane,Baker's Question on Smooth Hyperplane Sections over Finite Fields,Algebra,Algebraic geometry,,2026-06-22,"GPT-based models, Rethlas",OpenAI / Frenzy Math,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,agent,,,,https://arxiv.org/abs/2606.23513
batyrev-stringy-hodge-numbers,Batyrev's Stringy Hodge Number Conjecture,Algebra,Algebraic Geometry,1998,2026-07-21,GPT,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2607.19184
bondal-polishchuk-smooth-projective-counterexample,Bondal-Polishchuk Conjecture for a Smooth Projective Variety,Algebra,Algebraic geometry,1993,2026-07-28,ChatGPT 5.6,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2607.25391
boucksom-local-analytic-bertini,Boucksom's Local Analytic Bertini Conjecture,Algebra,Pluripotential theory,,2026-07-28,Rethlas (GPT-5.6 Sol),OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.25230
carlson-depth-conjecture,Carlson's Associated-Prime Depth Conjecture,Algebra,Group cohomology,1995,2026-07-26,TARS agent system,,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,agent,,,,https://arxiv.org/abs/2607.23732
one-relator-groups-commutator-relators,"Commutator Relators Do Not Force Hopficity, Residual Finiteness or Automaticity",Algebra,Combinatorial Group Theory,,2026-07-23,ChatGPT,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,20,disproved,preprint,,,,,https://arxiv.org/abs/2607.21493
connes-rigidity-icc-property-t,Connes' Rigidity Conjecture for ICC Property (T) Groups,Algebra,Operator algebras,,2026-08-03,GPT-5.6 Sol; Codex; Danus,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,mentioned-not-tiered,harness-signal,,35,disproved,preprint,agent; search,,,,https://arxiv.org/abs/2608.02327
xz-conjecture-mathieu-su2-counterexamples,Counterexamples to the xz-Conjecture and the Mathieu Conjecture for SU(2),Algebra,"Mathieu–Zhao Spaces, Integral Conjectures",,2026-07-21,ChatGPT 5,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2607.19012
two-adic-absolute-galois-presentation,Explicit Presentation of the 2-adic Absolute Galois Group,Algebra,Algebraic number theory,1982,2026-07-26,"ChatGPT-5.5 Pro (GPT-5.6 A/B), Claude Fable 5, Claude Opus 4.8",OpenAI / Anthropic,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,harness-signal,,25,proved,announcement,agent,,,,https://roed314.github.io/gq2/
fel-syzygy-conjecture,Fel's Conjecture on Syzygies of Numerical Semigroups,Algebra,Commutative algebra,,2026-02-03,AxiomProver,,ai-discovered,argument,lean-checked,lean,tiered-lean-checked,no-signal,,10,proved,preprint,,,,,https://arxiv.org/abs/2602.03716
finite-generation-for-klt-generalized-pairs,Finite Generation for klt Generalized Pairs,Algebra,Birational geometry,2023,2026-08-04,"GPT-5.6-sol-ultra, Fable 5, Danus","OpenAI, Anthropic, Rethlas",ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,22,disproved,preprint,agent,,,,https://arxiv.org/abs/2608.03258
grothendieck-finite-flat-group-schemes,Grothendieck's Finite Flat Group Scheme Order Question,Algebra,Algebraic Geometry,1966,2026-07-11,"GPT-5.6 Sol, Claude Fable 5",OpenAI / Anthropic,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,30,disproved,announcement,,,,,https://github.com/leanprover-community/mathlib4/pull/41748
